Revenue Stream,Year 1,Year 3,Year 5,Year 10
Day Trader Memberships,$240M,$480M,$720M,$1.4B
Alumni & Student Memberships,$30M,$90M,$180M,$400M
Premium Memberships,$50M,$150M,$300M,$700M
Lifetime Memberships,$50M,$150M,$250M,$500M
Corporate Memberships,$250M,$500M,$750M,$1.5B
Sponsor Listing Fees,$125M,$250M,$400M,$900M
Stadium Licensing,$100M,$200M,$350M,$800M
Exchange Trade Fees,$132B,$260B,$400B,$900B
Maker/Taker Fees,$12B,$25B,$40B,$90B
Spread Capture,$5B,$10B,$20B,$50B
Automated Hedging Fees,$3B,$6B,$12B,$30B
BLEI‑E Data Licensing,$100M,$300M,$600M,$1.2B
DBBI Bond Index Licensing,$150M,$300M,$500M,$1.0B
API Access (Quant Funds),$50M,$150M,$300M,$700M
Ticket Revenue,$55M,$60M,$70M,$90M
TOTAL REVENUE,$148B,$294B,$456B,$1.0T+
